"","clone","median","pval","logi_test","referencia","PC"
"1","606P",-1.92246389377103,5.17248248601446e-07,"less",37,"Dim.1"
"2","607P",-1.56449196602843,9.16525880953435e-08,"less",37,"Dim.1"
"3","F606-1",-1.96807455146562,5.2012519668351e-06,"less",37,"Dim.1"
"4","F606-2",-1.74001013644022,1.26327964240993e-05,"less",37,"Dim.1"
"5","F606-3",-1.80732446047762,7.17501980901789e-06,"less",37,"Dim.1"
"6","F606-4",-1.82684516165184,6.85141761768149e-06,"less",37,"Dim.1"
"7","F607-1",-1.42140236102669,1.30296955553762e-06,"less",37,"Dim.1"
"8","F607-2",-1.36588237417173,1.99934612729003e-06,"less",37,"Dim.1"
"9","F607-3",-1.14263640254616,4.8591915590294e-07,"less",37,"Dim.1"
"10","F607-4",-1.29322963141834,0.000144717008929189,"less",37,"Dim.1"
"11","R606-1",-1.76596300900642,7.5538523654961e-06,"less",37,"Dim.1"
"12","R606-2",-0.974217693521529,0.000256580154325231,"less",37,"Dim.1"
"13","R606-3",-0.918102577827951,0.00049309406930721,"less",37,"Dim.1"
"14","R606-4",-1.79439204268858,0.000129711827050195,"less",37,"Dim.1"
"15","R607-1",-1.26831615624116,2.96263205429681e-07,"less",37,"Dim.1"
"16","R607-2",-1.50495567083131,1.04411943929594e-06,"less",37,"Dim.1"
"17","R607-3",-1.17103867501613,9.23606750981332e-05,"less",37,"Dim.1"
"18","R607-4",-1.38204998881151,4.24454089787014e-07,"less",37,"Dim.1"
"19","S606-1",-1.18574169290506,0.000198882985213545,"less",37,"Dim.1"
"20","S606-2",-1.87958425546553,6.80846778922732e-06,"less",37,"Dim.1"
"21","S606-3",-1.54170308883501,0.00121673936586429,"less",37,"Dim.1"
"22","S606-4",-1.23839977803243,6.66912262329981e-05,"less",37,"Dim.1"
"23","S607-1",-1.04249930748979,5.07671239133554e-06,"less",37,"Dim.1"
"24","S607-2",-0.544688132851123,0.0171608884177499,"less",37,"Dim.1"
"25","S607-3",-1.54716316446217,4.52691129395852e-07,"less",37,"Dim.1"
"26","S607-4",-1.25453317964833,1.74076845122276e-06,"less",37,"Dim.1"
"27","606P",-1.2737533561409,1.33530410164795e-05,"less",37,"Dim.2"
"28","607P",-0.291486618105247,1.0186580173911e-05,"less",37,"Dim.2"
"29","F606-1",-0.702492778623251,0.00301959145160564,"less",37,"Dim.2"
"30","F606-2",-0.26578716461558,0.0317730212028383,"less",37,"Dim.2"
"31","F606-3",-0.358654612494278,0.00887456369126029,"less",37,"Dim.2"
"32","F606-4",-0.408584576800559,0.0110308126058679,"less",37,"Dim.2"
"33","F607-1",0.0747800515726204,0.000143502527171927,"less",37,"Dim.2"
"34","F607-2",-0.639110346103447,7.9844275174106e-06,"less",37,"Dim.2"
"35","F607-3",-0.00607941269761014,0.000136920010512598,"less",37,"Dim.2"
"36","F607-4",-0.348147515661489,1.56254553173465e-05,"less",37,"Dim.2"
"37","R606-1",-0.385312131299929,0.0181158721145326,"less",37,"Dim.2"
"38","R606-2",0.0707586196726064,0.000255820186513424,"less",37,"Dim.2"
"39","R606-3",0.215916693206797,0.0150819036572712,"less",37,"Dim.2"
"40","R606-4",-0.177095644526399,0.0338064314328709,"less",37,"Dim.2"
"41","R607-1",0.0115632618940281,9.40751248310916e-05,"less",37,"Dim.2"
"42","R607-2",0.313062841629583,0.00875833972389916,"less",37,"Dim.2"
"43","R607-3",-0.360927757840995,0.0107797069993686,"less",37,"Dim.2"
"44","R607-4",-0.0484151299660388,0.00153945982351703,"less",37,"Dim.2"
"45","S606-1",0.0570295841108836,0.032188953379031,"less",37,"Dim.2"
"46","S606-2",-0.375844950857345,0.011746420614331,"less",37,"Dim.2"
"47","S606-3",0.0420658753699119,0.0095893528868972,"less",37,"Dim.2"
"48","S606-4",0.108852707651198,0.00852989468274713,"less",37,"Dim.2"
"49","S607-1",0.212567337914689,0.000260882736575057,"less",37,"Dim.2"
"50","S607-2",0.417044691010435,0.00261585442920381,"less",37,"Dim.2"
"51","S607-3",-0.312248601783885,0.000161375819679256,"less",37,"Dim.2"
"52","S607-4",-0.158448770311083,2.43411757325972e-05,"less",37,"Dim.2"
"53","606P",-0.108362329732151,0.00102040696497397,"greater",37,"Dim.3"
"54","607P",0.321014098172465,0.00156453201802333,"greater",37,"Dim.3"
"55","F606-1",0.253915013010838,0.00894152995175358,"greater",37,"Dim.3"
"56","F606-2",0.230887740167398,0.0556436350017915,"greater",37,"Dim.3"
"57","F606-3",0.250728701753718,0.0125794304257736,"greater",37,"Dim.3"
"58","F606-4",0.428682510262851,0.00527044473498043,"greater",37,"Dim.3"
"59","F607-1",0.310956459718976,0.00136736991258049,"greater",37,"Dim.3"
"60","F607-2",-0.0438065962207334,0.119612973344667,"greater",37,"Dim.3"
"61","F607-3",0.239821606379544,0.00598675223208209,"greater",37,"Dim.3"
"62","F607-4",0.0198648914763163,0.0898494252854461,"greater",37,"Dim.3"
"63","R606-1",0.216806843198627,0.0112579240481361,"greater",37,"Dim.3"
"64","R606-2",-0.128297878022065,0.00810658834838991,"greater",37,"Dim.3"
"65","R606-3",-0.464239720306567,0.157811407141524,"greater",37,"Dim.3"
"66","R606-4",0.368388343403161,0.00100800382806996,"greater",37,"Dim.3"
"67","R607-1",0.517331834256547,0.000263135644343949,"greater",37,"Dim.3"
"68","R607-2",0.549057637580019,0.0102517711183175,"greater",37,"Dim.3"
"69","R607-3",-0.149353612469448,0.537595544212231,"less",37,"Dim.3"
"70","R607-4",0.0892843521179561,0.0438801738991351,"greater",37,"Dim.3"
"71","S606-1",0.240322821878977,0.00570072599912864,"greater",37,"Dim.3"
"72","S606-2",0.611671988428183,0.00513691120870875,"greater",37,"Dim.3"
"73","S606-3",0.317959249404024,0.000303214470966013,"greater",37,"Dim.3"
"74","S606-4",-0.0612305195092114,0.00911551629872399,"greater",37,"Dim.3"
"75","S607-1",0.266444069290205,0.0077766360537083,"greater",37,"Dim.3"
"76","S607-2",0.243961393208472,0.00350071037985536,"greater",37,"Dim.3"
"77","S607-3",0.538420396296234,0.000209063139377311,"greater",37,"Dim.3"
"78","S607-4",-0.120351761207668,0.540749155046063,"greater",37,"Dim.3"
"79","606P",-0.115405360952442,0.0171721675920604,"less",37,"Dim.4"
"80","607P",0.174521301219131,0.68126846998491,"greater",37,"Dim.4"
"81","F606-1",-0.245285904067919,0.00111053553521329,"less",37,"Dim.4"
"82","F606-2",-0.295458563957456,0.0017637049290144,"less",37,"Dim.4"
"83","F606-3",-0.157076021321838,0.0059352380570019,"less",37,"Dim.4"
"84","F606-4",-0.159096717068024,0.032648010270286,"less",37,"Dim.4"
"85","F607-1",0.461824542882896,0.00526313960290491,"greater",37,"Dim.4"
"86","F607-2",0.233902337002151,0.232741985727728,"greater",37,"Dim.4"
"87","F607-3",0.277546333724867,0.514407649391383,"greater",37,"Dim.4"
"88","F607-4",0.287952121276089,0.14584425748628,"greater",37,"Dim.4"
"89","R606-1",-0.166803105754826,0.123636150826057,"less",37,"Dim.4"
"90","R606-2",0.180477713411648,0.0301298673933355,"greater",37,"Dim.4"
"91","R606-3",0.45350507251098,0.000215483645425255,"greater",37,"Dim.4"
"92","R606-4",-0.144101646942203,0.0154489281582934,"less",37,"Dim.4"
"93","R607-1",0.0947653743309004,0.0439060493210749,"less",37,"Dim.4"
"94","R607-2",0.0599881188753614,0.062017122218951,"less",37,"Dim.4"
"95","R607-3",0.132679465002191,0.0987155348761982,"less",37,"Dim.4"
"96","R607-4",0.0472210385576701,0.0431525448808836,"less",37,"Dim.4"
"97","S606-1",0.224162487675244,0.0094399279482427,"greater",37,"Dim.4"
"98","S606-2",-0.394414146489453,0.000796293210300858,"less",37,"Dim.4"
"99","S606-3",-0.179076418732708,0.0557341786956771,"less",37,"Dim.4"
"100","S606-4",-0.0273368824553537,0.0777707499030115,"less",37,"Dim.4"
"101","S607-1",0.364231595288539,0.0157521393727444,"greater",37,"Dim.4"
"102","S607-2",0.329999010340232,0.210059509677878,"greater",37,"Dim.4"
"103","S607-3",-0.144555362398968,0.00056466243416835,"less",37,"Dim.4"
"104","S607-4",0.136794077526646,0.399789318521305,"less",37,"Dim.4"
