Well,Assay
Well1,negative
Well2,dextrin
Well3,maltose
Well4,trehalose
Well5,celobiose
Well6,gentiobiose
Well7,Sucrose
Well8,D-Turanose
Well9,Stachyose
Well10,positive
Well11,pH6
Well12,pH5
Well13,D-Raffinose
Well14,a-D-Lactose
Well15,D-Melibiose
Well16,b-Methyl-DGlucoside
Well17,D-Salicin
Well18,N-Acetyl-DGlucosamine
Well19,N-Acetyl-beta-DMannosamine
Well20,N-Acetyl-DGalactosamine
Well21,N-Acetyl Neuraminic Acid
Well22,1NaCl
Well23,4NaCl
Well24,8NaCl
Well25,a-D-Glucose
Well26,D-Mannose
Well27,D-Fructose
Well28,D-Galactose
Well29,3-Methyl Glucose
Well30,D-Fucose
Well31,L-Fucose
Well32,L-Rhamnose
Well33,Inosine
Well34,1NaLactate
Well35,Fusidic Acid
Well36,D-Serine
Well37,D-Sorbitol
Well38,D-Mannitol
Well39,D-Arabitol
Well40,myo-Inositol
Well41,Glycerol
Well42,D-Glucose6-PO4
Well43,D-Fructose6-PO4
Well44,D-Aspartic Acid
Well45,D-SerineInhibi
Well46,Troleandomycin
Well47,Rifamycin
Well48,Minocycline
Well49,Gelatin
Well50,Glycyl-L-Proline
Well51,L-Alanine
Well52,L-Arginine
Well53,L-Aspartic Acid
Well54,L-Glutamic Acid
Well55,L-Histidine
Well56,L-Pyroglutamic Acid
Well57,L-Serine
Well58,Lincomycin
Well59,Guanidine HCl
Well60,Niaproof 4
Well61,Pectin
Well62,D-Galacturonic Acid
Well63,L-Galactonic Acid Lactone
Well64,D-Gluconic Acid
Well65,D-Glucuronic Acid
Well66,Glucuronamide
Well67,Mucic Acid
Well68,Quinic Acid
Well69,D-Saccharic Acid
Well70,Vancomycin
Well71,Tetrazolium Violet
Well72,Tetrazolium Blue
Well73,p-HydroxyPhenylacetic Acid
Well74,Methyl Pyruvate
Well75,D-Lactic Acid Methyl Ester
Well76,L-Lactic Acid
Well77,Citric Acid
Well78,Keto-Glutaric Acid
Well79,D-Malic Acid
Well80,L-Malic Acid
Well81,Bromo-Succinic Acid
Well82,Nalidixic Acid
Well83,LiCl
Well84,Potassium Tellurite
Well85,Tween 40
Well86,Amino-Butryric Acid
Well87,HydroxyButyric Acid
Well88,"Hydroxy-D,LButyric Acid"
Well89,Keto-Butyric Acid
Well90,Acetoacetic Acid
Well91,Propionic Acid
Well92,Acetic Acid
Well93,Formic Acid
Well94,Aztreonam
Well95,Sodium Butyrate
Well96,Sodium Bromate