Treatment,Linage,Strain,Type,Experiment ,Temperature,Max_deriv,Lag,k
Media,607,607P,Reference,4_5_17,43,0.001361278,374.8868721,0.390209754
Media,607,607P,Reference,4_5_17,43,0.001462898,383.5977848,0.291290602
Media,607,607P,Reference,4_5_17,43,0.001672362,373.3310093,0.35178478
Random,607,R607-4,Clone,4_5_17,43,0.001704033,497.1237817,0.530302744
Random,607,R607-4,Clone,4_5_17,43,0.002114594,469.5610976,0.291042598
Random,607,R607-4,Clone,4_5_17,43,0.002178618,482.3062686,0.345423314
Random,607,R607-1,Clone,4_5_17,43,0.002648823,283.97605,0.63181864
Random,607,R607-1,Clone,4_5_17,43,0.002726371,355.260315,0.610175399
Random,607,R607-1,Clone,4_5_17,43,0.002522017,301.4538688,0.632819741
Media,607,607P,Reference,30_5_17,43,0.001123008,365.054449,0.310582534
Media,607,607P,Reference,30_5_17,43,0.000974443,492.4032564,0.270661217
Media,607,607P,Reference,30_5_17,43,0.001318246,327.7437365,0.391992435
Slow,607,S607-4,Clone,30_5_17,43,0.001804252,377.0102629,0.45150424
Slow,607,S607-4,Clone,30_5_17,43,0.001716626,430.7101064,0.432991214
Slow,607,S607-4,Clone,30_5_17,43,0.001829695,385.4158626,0.500752174
Slow,607,S607-3,Clone,30_5_17,43,0.001819128,399.690776,0.506939395
Slow,607,S607-3,Clone,30_5_17,43,0.001835766,325.4299574,0.575631625
Slow,607,S607-3,Clone,30_5_17,43,0.002030347,328.8004831,0.536530382
Slow,607,S607-1,Clone,30_5_17,43,0.001604947,140.294724,0.45586358
Slow,607,S607-1,Clone,30_5_17,43,0.0015159,119.4201317,0.443685018
Slow,607,S607-1,Clone,30_5_17,43,0.001436713,164.7382668,0.435002659
Media,607,607P,Reference,13_8_17,43,0.00137032,766.3853745,0.459984555
Media,607,607P,Reference,13_8_17,43,0.001482608,747.5315238,0.506567436
Media,607,607P,Reference,13_8_17,43,0.001470637,653.9400078,0.4806678
Media,607,607P,Reference,13_8_17,43,0.001303669,759.2647482,0.449922903
Fast,607,F607-4,Clone,13_8_17,43,0.001505238,521.7583848,0.535516057
Fast,607,F607-4,Clone,13_8_17,43,0.001561401,544.8511538,0.544038533
Fast,607,F607-4,Clone,13_8_17,43,0.001539923,498.4600224,0.573946917
Media,607,607P,Reference,1_3_18,43,0.00174509,490.1198118,0.531571929
Media,607,607P,Reference,1_3_18,43,0.001848469,465.0240686,0.559913978
Media,607,607P,Reference,1_3_18,43,0.001716895,445.3170118,0.536771323
Fast,607,F607-3,Clone,1_3_18,43,0.00201734,622.5222275,0.633623455
Fast,607,F607-3,Clone,1_3_18,43,0.002070115,648.2331557,0.669814357
Fast,607,F607-3,Clone,1_3_18,43,0.001869369,591.5018142,0.564122517
Fast,607,F607-1,Clone,1_3_18,43,0.002261624,997.5947586,0.643565477
Fast,607,F607-1,Clone,1_3_18,43,0.002348181,998.8882215,0.649625915
Fast,607,F607-1,Clone,1_3_18,43,0.002529184,983.2342496,0.707905448
Media,607,607P,Reference,26_5_17,43,0.001601064,922.1215503,0.49819123
Media,607,607P,Reference,26_5_17,43,0.001174339,929.8709774,0.389912024
Media,607,607P,Reference,26_5_17,43,0.001384802,958.4327446,0.455728022
Fast,607,F607-2,Clone,26_5_17,43,0.001972822,619.6836763,0.59916359
Fast,607,F607-2,Clone,26_5_17,43,0.002002063,611.3911537,0.618829602
Fast,607,F607-2,Clone,26_5_17,43,0.002041072,592.4015708,0.598691898
Random,607,R607-3,Clone,18_3_18,43,0.002116214,1456.623688,0.832628345
Random,607,R607-3,Clone,18_3_18,43,0.002146332,1394.815577,0.831029006
Random,607,R607-3,Clone,18_3_18,43,0.002096778,1428.58754,0.835245112
Media,607,607P,Reference,18_3_18,43,0.001699398,477.6726681,0.550443447
Media,607,607P,Reference,18_3_18,43,0.001868978,402.4975907,0.555653234
Media,607,607P,Reference,18_3_18,43,0.001744481,410.8672824,0.562407117
Random,606,R606-2,Clone,13_7_17,43,0.001279361,454.4545686,0.735305359
Random,606,R606-2,Clone,13_7_17,43,0.001378317,469.3750166,0.798530639
Random,606,R606-2,Clone,13_7_17,43,0.001500892,511.653974,0.790879811
Random,606,R606-2,Clone,13_7_17,43,0.001458567,444.1836108,0.763196748
Media,606,606P,Reference,13_7_17,43,0.001182038,1456.145231,0.560902084
Media,606,606P,Reference,13_7_17,43,0.001046813,1580.334588,0.463706154
Media,606,606P,Reference,13_7_17,43,0.001246696,1366.888108,0.522085854
Media,606,606P,Reference,13_7_17,43,0.001192598,1352.667104,0.497662413
Media,606,606P,Reference,13_5_17,43,0.001968378,379.9390755,0.264277544
Media,606,606P,Reference,13_5_17,43,0.002139649,342.4641546,0.323099398
Media,606,606P,Reference,13_5_17,43,0.001865824,344.9305939,0.281433408
Fast,606,F606-2,Clone,13_5_17,43,0.002858414,399.1635369,0.51270963
Fast,606,F606-2,Clone,13_5_17,43,0.0027032,309.7193248,0.52016663
Fast,606,F606-2,Clone,13_5_17,43,0.003063294,265.3725076,0.551427818
Random,606,R606-4,Clone,13_5_17,43,0.002531991,273.6487579,0.452072101
Random,606,R606-4,Clone,13_5_17,43,0.002323789,281.1771063,0.428796707
Random,606,R606-4,Clone,13_5_17,43,0.00225267,354.0376012,0.403121239
Slow,606,S606-4,Clone,13_5_17,43,0.002282235,693.7529865,0.575142967
Slow,606,S606-4,Clone,13_5_17,43,0.002479581,594.0851325,0.60407112
Slow,606,S606-4,Clone,13_5_17,43,0.002295143,716.3532937,0.425907737
Slow,606,S606-1,Clone,26_5_17,43,0.001443672,440.7001982,0.502783903
Slow,606,S606-1,Clone,26_5_17,43,0.001435437,505.4784873,0.540145839
Slow,606,S606-1,Clone,26_5_17,43,0.001725771,409.6836142,0.522573178
Media,606,606P,Reference,26_5_17,43,0.001317682,653.7538641,0.553111854
Media,606,606P,Reference,26_5_17,43,0.001177871,648.1182663,0.526887488
Media,606,606P,Reference,26_5_17,43,0.000908504,873.901949,0.35921809
Media,606,606P,Reference,stanis_egg,43,0.001671267,427.2004099,0.446719463
Media,606,606P,Reference,stanis_egg,43,0.00149802,366.2389611,0.409904682
Media,606,606P,Reference,stanis_egg,43,0.001792421,330.3310316,0.484546639
Fast,606,F606-4,Clone,stanis_egg,43,0.001900722,262.1419368,0.491532346
Fast,606,F606-4,Clone,stanis_egg,43,0.00175931,262.3390885,0.461238724
Fast,606,F606-4,Clone,stanis_egg,43,0.002172279,275.5600234,0.547152415
Media,606,606P,Reference,nym,43,0.001849291,342.5256437,0.509456951
Media,606,606P,Reference,nym,43,0.002017626,361.1623385,0.535314881
Media,606,606P,Reference,nym,43,0.002159609,379.2410571,0.539898105
Fast,606,F606-3,Clone,nym,43,0.002689139,244.6229548,0.635648451
Fast,606,F606-3,Clone,nym,43,0.002682134,609.1404502,0.648342632
Fast,606,F606-3,Clone,nym,43,0.002795619,215.9891295,0.74288949
Fast,606,F606-1,Clone,nym,43,0.002521791,356.4221842,0.604875877
Fast,606,F606-1,Clone,nym,43,0.002611082,346.0134542,0.546030373
Fast,606,F606-1,Clone,nym,43,0.002325858,318.1551734,0.61188701
Random,606,R606-1,Clone,nym,43,0.002295224,334.974935,334.974935
Random,606,R606-1,Clone,nym,43,0.001989242,320.439571,320.439571
Random,606,R606-1,Clone,nym,43,0.002314201,250.3793266,250.3793266
Media,607,607P,Reference,607_april,15,0.00019422,3974.386778,0.368696089
Media,607,607P,Reference,607_april,15,0.000201095,NA,0.39397328
Media,607,607P,Reference,607_april,15,0.000231572,NA,0.440436571
Slow,607,S607-1,Clone,607_april,15,0.000346238,NA,0.586367207
Slow,607,S607-1,Clone,607_april,15,0.000390359,2525.213951,0.661399076
Slow,607,S607-1,Clone,607_april,15,0.000373268,2694.516978,0.665733703
Random,607,R607-4,Clone,607_april,15,0.000202996,NA,0.348873127
Random,607,R607-4,Clone,607_april,15,0.00021994,2837.004504,0.327835014
Random,607,R607-4,Clone,607_april,15,0.000197101,NA,0.667449886
Media,606,606P,Reference,606_may,15,0.000320668,3255.013719,0.393398047
Media,606,606P,Reference,606_may,15,0.000327434,NA,0.441030319
Media,606,606P,Reference,606_may,15,0.000304736,2615.528472,0.386527368
Slow,606,S606-4,Clone,606_may,15,0.000367848,NA,0.599503271
Slow,606,S606-4,Clone,606_may,15,0.00037478,NA,0.621798478
Slow,606,S606-4,Clone,606_may,15,0.000325925,NA,0.563150101
Slow,606,S606-3,Clone,606_may,15,0.000371725,NA,0.656084624
Slow,606,S606-3,Clone,606_may,15,0.000356762,NA,0.596590966
Slow,606,S606-3,Clone,606_may,15,0.000399328,NA,0.689824051
Slow,606,S606-1,Clone,606_may,15,0.000377697,2499.45754,0.589548566
Slow,606,S606-1,Clone,606_may,15,0.000625073,NA,0.858862832
Slow,606,S606-1,Clone,606_may,15,0.00044641,NA,0.714467804
Random,606,R606-2,Clone,606_may,15,0.000389561,NA,0.625978402
Random,606,R606-2,Clone,606_may,15,0.000308125,NA,0.519072078
Random,606,R606-2,Clone,606_may,15,0.000342924,NA,0.577702446
Media,606,606P,Reference,Dayne_AEgon,15,0.00031526,NA,0.702695734
Media,606,606P,Reference,Dayne_AEgon,15,0.000284188,NA,0.706078194
Media,606,606P,Reference,Dayne_AEgon,15,0.000292374,2.089625266,0.708519188
Random,606,R606-4,Clone,Dayne_AEgon,15,0.000316636,NA,0.615766921
Random,606,R606-4,Clone,Dayne_AEgon,15,0.000295716,3012.324963,0.586580109
Random,606,R606-4,Clone,Dayne_AEgon,15,0.000296745,NA,0.59608937
Media,607,607P,Reference,607s_15_may,15,0.000189726,3090.702844,0.445475412
Media,607,607P,Reference,607s_15_may,15,0.000193726,NA,0.500844924
Media,607,607P,Reference,607s_15_may,15,0.000187721,NA,0.473559994
Random,607,R607-1,Clone,607s_15_may,15,0.000215013,2905.857392,0.549725119
Random,607,R607-1,Clone,607s_15_may,15,0.000210619,NA,0.526984723
Random,607,R607-1,Clone,607s_15_may,15,0.000202087,2771.537383,0.488014616
Fast,607,F607-2,Clone,607s_15_may,15,0.000216218,1864.418619,0.589142508
Fast,607,F607-2,Clone,607s_15_may,15,0.000233664,NA,0.589997039
Fast,607,F607-2,Clone,607s_15_may,15,0.000240936,1777.799857,0.588296217
Fast,607,F607-3,Clone,607s_15_may,15,0.000233019,NA,0.617270705
Fast,607,F607-3,Clone,607s_15_may,15,0.000246154,NA,0.589851504
Fast,607,F607-3,Clone,607s_15_may,15,0.00024877,NA,0.588665134
Fast,607,F607-1,Clone,607s_15_may,15,0.000239121,1479.189885,0.590814106
Fast,607,F607-1,Clone,607s_15_may,15,0.000265268,NA,0.605618011
Fast,607,F607-1,Clone,607s_15_may,15,0.00021566,NA,0.59553609
Media,606,606P,Reference,606s_ref_aprli,15,0.000268383,NA,0.72729254
Media,606,606P,Reference,606s_ref_aprli,15,0.000398283,NA,0.782503333
Media,606,606P,Reference,606s_ref_aprli,15,0.000359486,NA,0.774182061
Random,606,R606-1,Clone,606s_ref_aprli,15,0.000389371,NA,0.715816337
Random,606,R606-1,Clone,606s_ref_aprli,15,0.000344267,NA,0.782665997
Random,606,R606-1,Clone,606s_ref_aprli,15,0.000228136,NA,0.690560026
Fast,606,F606-3,Clone,606s_ref_aprli,15,0.000342825,NA,0.712546592
Fast,606,F606-3,Clone,606s_ref_aprli,15,0.000270099,NA,0.654685849
Fast,606,F606-3,Clone,606s_ref_aprli,15,0.000444874,1919.727263,0.679615694
Fast,606,F606-1,Clone,606s_ref_aprli,15,0.000344863,NA,0.746643356
Fast,606,F606-1,Clone,606s_ref_aprli,15,0.000330399,NA,0.699529499
Fast,606,F606-1,Clone,606s_ref_aprli,15,0.000326389,1899.634791,0.701192541
Media,607,607P,Reference,607_15_april,15,0.00019422,3974.386778,0.368696089
Media,607,607P,Reference,607_15_april,15,0.000201095,NA,0.39397328
Media,607,607P,Reference,607_15_april,15,0.000231572,NA,0.440436571
Slow,607,S607-4,Clone,607_15_april,15,0.000243562,NA,0.514120226
Slow,607,S607-4,Clone,607_15_april,15,0.000265905,NA,0.607677314
Slow,607,S607-4,Clone,607_15_april,15,0.000264939,2514.741637,0.572650821
Slow,607,S607-3,Clone,607_15_april,15,0.000270709,NA,0.427052165
Slow,607,S607-3,Clone,607_15_april,15,0.000291041,NA,0.46378909
Slow,607,S607-3,Clone,607_15_april,15,0.00027104,NA,0.449976991
Slow,607,S607-2,Clone,607_15_april,15,0.000128186,NA,0.268176678
Slow,607,S607-2,Clone,607_15_april,15,0.000125335,NA,0.307289618
Slow,607,S607-2,Clone,607_15_april,15,0.000137761,NA,0.316406414
Media,607,607P,Reference,607_15_4_3_18,15,0.000295488,2271.136585,0.536365069
Media,607,607P,Reference,607_15_4_3_18,15,0.000321148,2369.356347,0.621004893
Media,607,607P,Reference,607_15_4_3_18,15,0.000307714,NA,0.560886411
Random,607,R607-2,Clone,607_15_4_3_18,15,0.000322877,NA,0.597317396
Random,607,R607-2,Clone,607_15_4_3_18,15,0.0002423,2006.095477,0.479977838
Random,607,R607-2,Clone,607_15_4_3_18,15,0.000306343,NA,0.535581602
Random,607,R607-3,Clone,607_15_4_3_18,15,0.000336395,NA,0.58328489
Random,607,R607-3,Clone,607_15_4_3_18,15,0.000369162,NA,0.596656036
Random,607,R607-3,Clone,607_15_4_3_18,15,0.00030821,NA,0.548657081
Media,606,606P,Reference,27_5_17,15,0.000301261,NA,0.587744874
Media,606,606P,Reference,27_5_17,15,0.000343521,NA,0.596904682
Media,606,606P,Reference,27_5_17,15,0.000359968,NA,0.594813464
Slow,606,S606-2,Clone,27_5_17,15,0.000213756,NA,0.394633152
Slow,606,S606-2,Clone,27_5_17,15,0.000235213,NA,0.490038848
Slow,606,S606-2,Clone,27_5_17,15,0.000216331,NA,0.434646992
Media,607,607P,Reference,27_5_17,15,0.000208046,NA,0.372705902
Media,607,607P,Reference,27_5_17,15,0.000227197,NA,0.367928281
Media,607,607P,Reference,27_5_17,15,0.000205063,NA,0.335884223
Fast,607,F607-4,Clone,27_5_17,15,0.000249912,NA,0.487897765
Fast,607,F607-4,Clone,27_5_17,15,0.000268802,NA,0.514222761
Fast,607,F607-4,Clone,27_5_17,15,0.000166859,1428.513134,0.411531895
Media,606,606P,Reference,11_3_18,43,0.001974866,1163.409218,0.569020836
Media,606,606P,Reference,11_3_18,43,0.001875431,1033.438381,0.946920801
Media,606,606P,Reference,11_3_18,43,0.002623748,494.3528066,1.079922443
Slow,606,S606-2,Clone,11_3_18,43,0.002729546,535.5780551,0.949372433
Slow,606,S606-2,Clone,11_3_18,43,0.003100159,392.0006794,1.340292028
Slow,606,S606-2,Clone,11_3_18,43,0.002747987,500.936016,1.01594039
Slow,606,S606-3,Clone,11_3_18,43,0.002610159,611.1031918,0.835642775
Slow,606,S606-3,Clone,11_3_18,43,0.002572358,424.3503836,1.158474352
Slow,606,S606-3,Clone,11_3_18,43,0.002639413,368.2223595,1.295065261
Random,606,R606-3,Clone,11_3_18,43,0.002343825,536.8034903,0.727558781
Random,606,R606-3,Clone,11_3_18,43,0.002438863,341.7974466,1.176168002
Random,606,R606-3,Clone,11_3_18,43,0.00245022,353.2293715,1.124022597
Media,606,606P,Reference,dependent,15,0.00021409,NA,NA
Media,606,606P,Reference,dependent,15,0.000291383,NA,NA
Media,606,606P,Reference,dependent,15,0.000236081,NA,NA
Fast,606,F606-2,Clone,dependent,15,0.000312034,NA,NA
Fast,606,F606-2,Clone,dependent,15,0.000281635,NA,NA
Fast,606,F606-2,Clone,dependent,15,0.000288287,NA,NA
Media,606,606P,Reference,1_6_17,15,0.000273406,NA,0.415185525
Media,606,606P,Reference,1_6_17,15,0.000239134,NA,0.377940135
Media,606,606P,Reference,1_6_17,15,0.000306519,-16.30779733,0.392708794
Fast,606,F606-4,Clone,1_6_17,15,0.000339375,NA,0.495341083
Fast,606,F606-4,Clone,1_6_17,15,0.000414274,NA,0.552108982
Fast,606,F606-4,Clone,1_6_17,15,0.000393374,NA,0.509929239
Media,606,606P,Reference,3_8_17,15,0.000209644,NA,0.530545887
Media,606,606P,Reference,3_8_17,15,0.000237779,NA,0.660183554
Media,606,606P,Reference,3_8_17,15,0.000170679,NA,0.517909118
Media,606,606P,Reference,3_8_17,15,0.000215349,NA,0.642281269
Random,606,R606-3,Clone,3_8_17,15,0.000192286,2882.388508,0.511936476
Random,606,R606-3,Clone,3_8_17,15,0.000147827,NA,0.42651428
Random,606,R606-3,Clone,3_8_17,15,0.00023074,2641.702541,0.530551149
Random,606,R606-3,Clone,3_8_17,15,0.000223262,2115.017576,0.504321763
Random,606,R606-3,Clone,3_8_17,15,0.000223654,NA,0.56923272
Media,607,607P,Reference,25_3_18,43,0.00175803,1220.718984,0.634495776
Media,607,607P,Reference,25_3_18,43,0.001764877,1011.707287,0.638450622
Media,607,607P,Reference,25_3_18,43,0.00171586,934.0405948,0.616943115
Slow,607,S607-2,Clone,25_3_18,43,0.002875059,689.1850136,0.9251763
Slow,607,S607-2,Clone,25_3_18,43,0.003080291,710.0061812,0.980596996
Slow,607,S607-2,Clone,25_3_18,43,0.002629784,836.2318307,0.951775372
Media,607,607P,Reference,jeor_sunfyre_43,43,0.000688429,662.509497,0.233415206
Media,607,607P,Reference,jeor_sunfyre_43,43,0.000696094,568.6439892,0.225512221
Media,607,607P,Reference,jeor_sunfyre_43,43,0.000703776,595.9785367,0.231941913
Random,607,R607-2,Clone,jeor_sunfyre_43,43,0.00073803,578.6031125,0.287753748
Random,607,R607-2,Clone,jeor_sunfyre_43,43,0.00075588,544.8979739,0.282051636
Random,607,R607-2,Clone,jeor_sunfyre_43,43,0.000783154,575.368391,0.299716551